Transaction,OFFENSE_Code,PSA_ID,AvgTmp,AvgHumid,Precip,Season,Weekend,Period
143,Assault,304,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
144,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
145,Theft/Auto,305,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
146,Theft/Auto,304,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
147,Burglary,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
148,Theft/Auto,305,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
149,Motor Vehicle Theft,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
150,Theft/Auto,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
151,Theft/Auto,303,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Midnight
152,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
153,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
154,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
155,Robbery,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
156,Theft/Auto,409,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
157,Robbery,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
158,Theft/Other,304,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
159,Assault,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Morning
160,Theft/Auto,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
161,Theft/Auto,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
162,Theft/Auto,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
163,Theft/Auto,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
164,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekend,Afternoon
165,Theft/Auto,302,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekend,Evening
166,Homicide,409,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekend,Evening
167,Robbery,305,Temp 33-52,Humid 25-50%,Precip 0-1,Summer,Weekday,Midnight
168,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekday,Afternoon
169,Theft/Other,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
170,Robbery,304,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
171,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
172,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
173,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
174,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
175,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
176,Theft/Other,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
177,Theft/Other,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
178,Theft/Auto,305,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
179,Theft/Other,304,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
180,Motor Vehicle Theft,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
181,Theft/Other,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
182,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
183,Motor Vehicle Theft,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
184,Burglary,304,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Midnight
185,Theft/Other,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
186,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
187,Theft/Auto,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
188,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
189,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
190,Theft/Other,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
191,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
192,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
193,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
194,Assault,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
195,Theft/Other,302,Temp 52-71,Humid 50-75%,Precip 0-1,Summer,Weekday,Morning
196,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
197,Theft/Other,305,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
198,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
199,Robbery,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
200,Robbery,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
201,Theft/Other,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
202,Theft/Other,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
203,Theft/Other,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
204,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
205,Theft/Other,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
206,Robbery,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
207,Theft/Auto,304,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
208,Robbery,409,Temp 33-52,Humid 25-50%,Precip 0-1,Summer,Weekday,Midnight
209,Theft/Other,305,Temp 33-52,Humid 25-50%,Precip 0-1,Summer,Weekday,Morning
210,Homicide,302,Temp 33-52,Humid 25-50%,Precip 0-1,Summer,Weekday,Morning
211,Sex Abuse,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
212,Theft/Auto,303,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekday,Evening
213,Theft/Auto,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
214,Theft/Auto,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
215,Theft/Auto,405,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
216,Theft/Auto,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
217,Theft/Other,301,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
218,Theft/Other,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
219,Theft/Other,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
220,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
221,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
222,Motor Vehicle Theft,306,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
223,Theft/Auto,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
224,Robbery,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
225,Theft/Auto,301,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
226,Theft/Auto,303,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
227,Theft/Auto,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
228,Theft/Auto,404,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekday,Evening
229,Theft/Auto,304,Temp 33-52,Humid 75-100%,Precip 0-1,Summer,Weekday,Morning
230,Theft/Auto,303,Temp 33-52,Humid 75-100%,Precip 0-1,Summer,Weekday,Afternoon
231,Theft/Other,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
232,Theft/Other,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
233,Theft/Other,405,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
234,Theft/Auto,302,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Morning
235,Motor Vehicle Theft,305,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Morning
236,Theft/Auto,305,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Morning
237,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
238,Theft/Other,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
239,Theft/Other,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
240,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
241,Theft/Auto,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
242,Theft/Auto,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
243,Robbery,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Midnight
244,Theft/Other,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
245,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
246,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekday,Afternoon
247,Theft/Auto,409,Temp 33-52,Humid 75-100%,Precip 0-1,Summer,Weekday,Evening
248,Theft/Other,303,Temp 33-52,Humid 75-100%,Precip 0-1,Summer,Weekday,Evening
249,Robbery,303,Temp 52-71,Humid 50-75%,Precip 0-1,Summer,Weekday,Midnight
250,Robbery,409,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Morning
251,Theft/Other,306,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Morning
252,Theft/Other,305,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
253,Burglary,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
254,Theft/Auto,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Morning
255,Theft/Other,303,Temp 52-71,Humid 25-50%,Precip 0-1,Spring,Weekday,Midnight
256,Theft/Other,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
257,Burglary,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
258,Theft/Other,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
259,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
260,Theft/Other,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
261,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
262,Theft/Auto,306,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
263,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
264,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
265,Theft/Auto,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
266,Theft/Other,304,Temp 33-52,Humid 25-50%,Precip 0-1,Summer,Weekday,Afternoon
267,Theft/Other,302,Temp 33-52,Humid 25-50%,Precip 0-1,Summer,Weekday,Evening
268,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Summer,Weekday,Afternoon
269,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
270,Theft/Other,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
271,Theft/Auto,306,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
272,Theft/Auto,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
273,Theft/Auto,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
274,Assault,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
275,Assault,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
276,Theft/Auto,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
277,Robbery,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
278,Robbery,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
279,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
